/usr/bin/java  -classpath /Users/szhong/Code/MadFS/bench/ycsb-traces-large/ycsb-0.17.0/conf:/Users/szhong/Code/MadFS/bench/ycsb-traces-large/ycsb-0.17.0/lib/HdrHistogram-2.1.4.jar:/Users/szhong/Code/MadFS/bench/ycsb-traces-large/ycsb-0.17.0/lib/core-0.17.0.jar:/Users/szhong/Code/MadFS/bench/ycsb-traces-large/ycsb-0.17.0/lib/htrace-core4-4.1.0-incubating.jar:/Users/szhong/Code/MadFS/bench/ycsb-traces-large/ycsb-0.17.0/lib/jackson-core-asl-1.9.4.jar:/Users/szhong/Code/MadFS/bench/ycsb-traces-large/ycsb-0.17.0/lib/jackson-mapper-asl-1.9.4.jar site.ycsb.Client -t -db site.ycsb.BasicDB -P ycsb-0.17.0/workloads/workloade -p fieldcount=1 -p fieldlength=0
***************** properties *****************
"insertproportion"="0.05"
"fieldcount"="1"
"fieldlength"="0"
"scanlengthdistribution"="uniform"
"readproportion"="0"
"scanproportion"="0.95"
"maxscanlength"="100"
"readallfields"="true"
"dotransactions"="true"
"requestdistribution"="zipfian"
"workload"="site.ycsb.workloads.CoreWorkload"
"recordcount"="1000"
"updateproportion"="0"
"db"="site.ycsb.BasicDB"
"operationcount"="1000"
**********************************************
INSERT usertable user5952875239596136740 [ field0= ]
SCAN usertable user7577105179493538185 68 [ <all fields>]
SCAN usertable user6973924209660459785 41 [ <all fields>]
SCAN usertable user1482998283129549793 48 [ <all fields>]
SCAN usertable user8285552217075831931 62 [ <all fields>]
SCAN usertable user4057152635719055483 11 [ <all fields>]
SCAN usertable user7118824590470993170 79 [ <all fields>]
SCAN usertable user8522343410166374749 78 [ <all fields>]
SCAN usertable user1820151046732198393 49 [ <all fields>]
SCAN usertable user6284440215373078646 98 [ <all fields>]
SCAN usertable user1824837228751466074 73 [ <all fields>]
SCAN usertable user4756568954557112432 51 [ <all fields>]
SCAN usertable user8527247907403484313 81 [ <all fields>]
SCAN usertable user8401433899964320217 85 [ <all fields>]
SCAN usertable user7345901774228702061 98 [ <all fields>]
SCAN usertable user2172482277416930932 73 [ <all fields>]
SCAN usertable user523359861104611621 16 [ <all fields>]
SCAN usertable user6062950819441076449 18 [ <all fields>]
SCAN usertable user6390949534223031570 56 [ <all fields>]
SCAN usertable user3685735031662953655 20 [ <all fields>]
SCAN usertable user5696219397404242302 99 [ <all fields>]
SCAN usertable user5952875239596136740 19 [ <all fields>]
SCAN usertable user3464245635730951458 3 [ <all fields>]
SCAN usertable user2870437029936408420 74 [ <all fields>]
SCAN usertable user6149253843895379188 45 [ <all fields>]
INSERT usertable user3339209904021769693 [ field0= ]
